Brand,Industry
Nurofen,Healthcare/Pharmaceuticals
Nursing Recruitment,Healthcare/Government
Nutella,Food & Beverages
Nytol,Healthcare/Pharmaceuticals
O2,Telecommunications
O2 Gurus,Telecommunications
O2 Stadium,Entertainment/Sports
Observer The,Media/Publishing
Ocean Spray,Food & Beverages
Octasa,Technology/Services
Oddbins,Retail/Alcoholic Beverages
Odol-med3 Toothpaste,Personal Care
Officeworks,Retail/Office Supplies
Olivio,Food & Beverages
Olympus,Technology/Electronics
Omega Chewing Gum,Food & Beverages
One2One,Telecommunications
ONLY,Retail/Fashion
Optrex,Healthcare/Pharmaceuticals
Oral-B,Personal Care
Orange,Telecommunications
Oranjeboom,Alcoholic Beverages
Organ Donor Register,Healthcare/Government
Original Source,Personal Care
OTP Bank,Financial Services
Otrivine,Healthcare/Pharmaceuticals
Ovaltine,Food & Beverages
OVO,Utilities
Oxo Cubes and Gravy Granules,Food & Beverages
Oxo Stockmaker,Food & Beverages
P&O Cruises,Travel/Tourism
P&O Ferries,Transportation
Paignton Zoo,Entertainment/Tourism
Pampers,Personal Care
Panasonic Toughbook,Technology/Electronics
Pancreatic Cancer Action,Non-Profit/Charity
Paracodol,Healthcare/Pharmaceuticals
Parodontax,Personal Care
Paul Masson California Carafes,Alcoholic Beverages
Pedigree,Pet Care
Penguin,Food & Beverages
People's Postcode Lottery,Gaming/Charity
Peperami,Food & Beverages
Pepsi Max,Food & Beverages
Pergraphica,Technology/Services
Permian Strategic Partnership,Energy/Industrial
Perrier,Food & Beverages
Persil,Personal Care
Petits Filou,Food & Beverages
Petplan,Pet Care/Insurance
PG Tips,Food & Beverages
Philadelphia Cream Cheese,Food & Beverages
Phileas Fogg,Food & Beverages
Philips Cooktronic,Home Appliances
Philips MSS Shaver,Personal Care
Philips Video,Technology/Electronics
Pilgrims Choice Cheese,Food & Beverages
Pilkington Activ Glass,Industrial/Construction
Pilkington Glass,Industrial/Construction
Pink Lady,Food & Beverages
Pirelli,Automotive
Pizza Hut,Food & Beverages/Restaurants
Plax,Personal Care
Plenty paper towels,Personal Care
Plessey PDX,Technology/Electronics
Plusnet,Telecommunications
Polaroid,Technology/Electronics
Police Federation,Government/Law Enforcement
Police Service of Northern Ireland,Government/Law Enforcement
Polo Mints,Food & Beverages
Poly Foam Perms,Personal Care
Pomegreat,Food & Beverages
Portsmouth News,Media/Publishing
Post Office,Government/Postal Services
Post Office - Special Issue Stamps,Government/Postal Services
Postbank,Financial Services
Pot Noodle,Food & Beverages
Pot Snacks,Food & Beverages
Potatoes,Food & Beverages
PPI Deadline,Financial Services/Government
Premier Inn,Hospitality/Tourism
Presto,Home Appliances
Pretty Polly,Retail/Fashion
Pringles,Food & Beverages
Privilege Insurance,Insurance
Procell,Technology/Electronics
Program of Humanitarian Attention to the Demobilised,Non-Profit/Charity
Promote Iceland,Tourism/Government
Prospan,Healthcare/Pharmaceuticals
Prudential,Financial Services
Pure Gym,Health & Fitness
Purplebricks,Real Estate/Technology
QE2,Transportation/Tourism
Quaker Harvest Chewy Bars,Food & Beverages
Qualcast Concorde Lawn Mower,Home & Garden
QualitySolicitors,Legal Services
Quatro,Food & Beverages
Quorn Burgers,Food & Beverages
Radio Rentals,Retail/Electronics
Radion Automatic,Personal Care
Radley handbags,Retail/Fashion
RAF Recruitment,Government/Military
Raider,Food & Beverages
Rainbow Evaporated Milk,Food & Beverages
Range Rover,Automotive
Ready Baked Jackets,Food & Beverages
Real McCoy's,Food & Beverages
Red Meat,Food & Beverages
Red Mountain,Food & Beverages
Reebok,Retail/Sports
Refinitiv,Technology/Financial Services
Reliant Metrocabs,Automotive
Remegel,Healthcare/Pharmaceuticals
Remember A Charity,Non-Profit/Charity
Renault 19,Automotive
Renault 5,Automotive
Renault Clio,Automotive
Renault Trafic & Master Vans,Automotive
Resolva 24H Weedkiller,Home & Garden
responsibletravel.com,Travel/Tourism
Ribena,Food & Beverages
Right Behind Gay Footballers,Sports/Advocacy
Rimmel Cosmetics,Personal Care
RNIB,Non-Profit/Charity
RNID,Non-Profit/Charity
Road Safety Authority (Republic of Ireland),Government/Public Safety
Robinsons Fruit Shoot,Food & Beverages
Rocky Biscuits,Food & Beverages
Rogue,Food & Beverages
Rolls Royce Privatisation,Government/Aerospace
Roundup Weedkiller,Home & Garden
Rover 200,Automotive
Rowenta Small Electrical Appliances,Home Appliances
Rowntree's Fruit Gums,Food & Beverages
Royal Bank of Scotland,Financial Services
Royal Bank Of Scotland Cashline,Financial Services
Royal College of Nursing,Healthcare/Professional Association
Royal Mail,Government/Postal Services
Royal Mail Business Economy,Government/Postal Services
Royal Navy,Government/Military
Royal Navy Recruitment,Government/Military
RSPCA,Non-Profit/Animal Welfare
Rubicon,Food & Beverages
Rugby League World Cup 2021,Sports/Entertainment
Rugby World Cup 2015,Sports/Entertainment
Rumbelows,Retail/Electronics
Ryvita,Food & Beverages
Ryvita Minis,Food & Beverages
S1jobs.com,Technology/Employment
S4C,Media/Broadcasting
Saab,Automotive
Safeway,Retail/Grocery
Sainsbury's,Retail/Grocery
Sainsbury's Magazine,Media/Publishing
Samaritans,Non-Profit/Charity
Sambito S.A,Food & Beverages
Samsung,Technology/Electronics
Sanatogen Multivitamins,Healthcare/Pharmaceuticals
Sandplate,Technology/Services
Sandy Hook Promise,Non-Profit/Advocacy
Santander,Financial Services
Sapur,Food & Beverages
Save The Children,Non-Profit/Charity
Schmackos,Pet Care
Scoot.com,Travel/Technology
Scotcade,Gaming/Entertainment
Scotch Video Cassettes,Technology/Electronics
Scotland on Sunday,Media/Publishing
Scotrail,Transportation
Scottish Amicable,Financial Services
Scottish Executive - Children's Panel,Government
Scottish Executive - Domestic Abuse,Government
Scottish Executive - Drugs,Government
Scottish Executive - Literacy,Government
Scottish Executive - Organ Donation,Government
Scottish Executive - Teacher Recruitment,Government
Scottish National Blood Transfusion Service,Healthcare/Government
Scottish Power,Utilities
Scottish Prison Service,Government
Scruffs Hard Wear,Retail/Fashion
Seafish Industry Authority,Industry Association
Seeds of Change,Food & Beverages
Seiko Watches,Retail/Jewelry
Sellafield Visitors Centre,Tourism/Government
Senokot,Healthcare/Pharmaceuticals
Sensodyne,Personal Care
Sensodyne Pronamel,Personal Care
Shake 'n' Vac,Home & Garden
Shakers Cocktails,Alcoholic Beverages
Shangri-La Hotels & Resorts,Hospitality/Tourism
Shell,Energy/Oil & Gas
Shell Optimax,Energy/Oil & Gas
Shell V Power,Energy/Oil & Gas
Shell Velocita,Energy/Oil & Gas
Shloer,Food & Beverages
Shredded Wheat,Food & Beverages
Sick Kids,Non-Profit/Charity
Silentnight Beds,Retail/Home & Garden
Simple,Personal Care
Sixt,Automotive Services
SK-II,Personal Care
Skittles,Food & Beverages
Skoda,Automotive
Skol,Alcoholic Beverages
Sky,Media/Broadcasting
Sky Broadband,Telecommunications
Slendertone,Health & Fitness
Slumberdown,Retail/Home & Garden
Slumberdown Quilts,Retail/Home & Garden
Slurpee,Food & Beverages
Smart Energy GB,Government/Utilities
Smart Movers,Real Estate/Services
Smarties,Food & Beverages
Smirnoff Vodka,Alcoholic Beverages
Smith's Square Crisps,Food & Beverages
Smokefree North West,Healthcare/Public Health
Smooth FM,Media/Broadcasting
Snickers,Food & Beverages
So...? - Yardley,Personal Care
Sobieski,Alcoholic Beverages
Soft & Gentle,Personal Care
Solvite,Home Improvement
Sony,Technology/Electronics
Sony Bravia,Technology/Electronics
Sony Camcorders,Technology/Electronics
Sony Ericsson,Technology/Electronics
Sony Ericsson T610,Technology/Electronics
Sony Handycam,Technology/Electronics
Soothers,Healthcare/Pharmaceuticals
Soreen Malt Loaf,Food & Beverages
SPC Packaged Fruits and Vegetables,Food & Beverages
Specsavers,Healthcare/Retail
Speeding,Government/Public Safety
Spies Travels,Travel/Tourism
Sport England,Government/Sports
Springers,Food & Beverages
Sprite,Food & Beverages
St Ivel Gold,Food & Beverages
St John Ambulance,Non-Profit/Healthcare
Standard Bank,Financial Services
Stanley Tools,Retail/Tools
Star Alliance,Airlines/Travel
Starbucks,Food & Beverages/Restaurants
Stella Artois,Alcoholic Beverages
Sting Energy Drink,Food & Beverages
Stoptober,Healthcare/Public Health
Storage Heaters,Home Improvement
Strathclyde Police,Government/Law Enforcement
Strepsils,Healthcare/Pharmaceuticals
Strongbow,Alcoholic Beverages
Subway,Food & Beverages/Restaurants
Sudocrem,Personal Care
Summers The Plumbers,Home Services
Sunblest Sunbran,Food & Beverages
Supasnaps,Retail/Photography
Supermalt,Food & Beverages
Surf,Personal Care
Suzuki,Automotive
Swan Vesta Matches,Home & Garden
SWEB Security Systems,Security/Technology
Swinton Insurance,Insurance
Swinton Taxi Division,Transportation
Switch Card Scheme,Financial Services
Ta Chong Bank,Financial Services
TalkTalk,Telecommunications
Tandon Computers,Technology/Electronics
Tango,Food & Beverages
TCP,Healthcare/Pharmaceuticals
TDA Teacher Recruitment,Government/Education
Tea,Food & Beverages
Teacher Training Agency,Government/Education
Teletext,Media/Broadcasting
Temptations,Pet Care
TENA,Personal Care
Tenderstem,Food & Beverages
Tennents,Alcoholic Beverages
Tennents Pilsner,Alcoholic Beverages
Territorial Army Recruitment,Government/Military
Terry's Chocolate Orange,Food & Beverages
Tesco,Retail/Grocery
Tesco Clubcard,Retail/Grocery
Tesco Mobile,Telecommunications
Tetley Tea Bags,Food & Beverages
TFO,Technology/Services
The AA,Automotive Services
The All England Lawn Tennis Club,Sports/Entertainment
The Campaign Against Living Miserably (CALM),Non-Profit/Mental Health
The Co-Operative Food,Retail/Grocery
The Global Fund To Fight AIDS Tuberculosis and Malaria,Non-Profit/Healthcare
The Guardian & The Observer,Media/Publishing
The Happy Egg Co.,Food & Beverages
The Lego Movie,Entertainment/Film
The Philippines,Tourism/Government
The Royal British Legion,Non-Profit/Military Support
The Salvation Army,Non-Profit/Religious
The United Nations,International Organization
The Women's Foundation,Non-Profit/Charity
The Woodsman,Food & Beverages
thetrainline.com,Travel/Technology
THINK !,Government/Public Safety
Think!,Government/Public Safety
Thomas Cook,Travel/Tourism
Three,Telecommunications
Tia Maria,Alcoholic Beverages
Time to Change,Non-Profit/Mental Health
Times The,Media/Publishing
TiVo,Technology/Electronics
Tizer,Food & Beverages
Tjaereborg Rejser,Travel/Tourism
T-Mobile,Telecommunications
Tobacco Control,Government/Public Health
Tobacco Free Futures,Healthcare/Public Health
Tolly's Original,Alcoholic Beverages
Tommy's - The Baby Charity,Non-Profit/Charity
Top Gear,Media/Entertainment
Torbay Tourist Board,Tourism/Government
Toshiba,Technology/Electronics
TOTAL 0% Greek Yoghurt,Food & Beverages
Touche Remnant Unit Trusts,Financial Services
Tourism Ireland,Tourism/Government
Tower of London,Tourism/Government
Toyota AYGO,Automotive
Toyota Corolla,Automotive
Toyota Rav4,Automotive
Toyota Yaris,Automotive
Training & Development Agency for Schools,Government/Education
Trans World Airlines,Airlines/Travel
Translink Metro,Transportation
Transport For London - Cycling Safety,Government/Transportation
Travel & Surf,Travel/Tourism
travelocity.co.uk,Travel/Technology
Tri-Ac,Healthcare/Pharmaceuticals
Tribute Ale,Alcoholic Beverages
Trident (Metropolitan Police),Government/Law Enforcement
Tritace,Healthcare/Pharmaceuticals
Triumph Dolomite,Automotive
Tropicana Pure Premium,Food & Beverages
True Match,Personal Care
Truth Project,Government/Investigation
TSB,Financial Services
TSB School Leavers,Financial Services
TSB Trust,Financial Services
Tudor Specials Crisps,Food & Beverages
TUI,Travel/Tourism
TV Licensing,Government/Media
TWA Ambassador Class,Airlines/Travel
Twix,Food & Beverages
Tyne And Wear Fire And Rescue Services,Government/Emergency Services
U by Kotex,Personal Care
UK Government,Government
UKTV,Media/Broadcasting
UKTV - Blighty,Media/Broadcasting
UKTV - Eden,Media/Broadcasting
Umbongo Tropical Juice Drink,Food & Beverages
Unibond,Home Improvement
Unicliffe Slimming Aids,Healthcare/Weight Loss
Unite against COVID-19,Healthcare/Public Health
United Biscuits Countline Range,Food & Beverages
University of Dundee,Education
UPS,Logistics/Shipping
US Army,Government/Military
Uvistat,Personal Care
Vanguard,Financial Services
Vanish,Personal Care
Varilux Lenses,Healthcare/Vision
Vauxhall Astra,Automotive
Vauxhall Cavalier,Automotive
Vegetarian Society,Non-Profit/Food Advocacy
Velvet Toilet Tissue,Personal Care
Very,Retail/General
Vimto,Food & Beverages
Virgin Atlantic,Airlines/Travel
Virgin Media,Telecommunications
Virgin Media O2,Telecommunications
Virgin Mobile,Telecommunications
Virgin Mobile Australia,Telecommunications
Virgin Trains,Transportation
Visa UK,Financial Services
Visit London,Tourism/Government
VitalityHealth,Healthcare/Insurance
VO5 Extreme Style,Personal Care
Vodafone,Telecommunications
Volkswagen,Automotive
Volkswagen Commercial Vehicles,Automotive
Volkswagen Diesel,Automotive
Volkswagen Golf,Automotive
Volkswagen Golf GTI MK 5,Automotive
Volkswagen Passat,Automotive
Volkswagen Tiguan,Automotive
Volvo,Automotive
Volvo Life Paint,Automotive
Vype,Personal Care
wagamama,Food & Beverages/Restaurants
Waistline,Food & Beverages
Waitrose,Retail/Grocery
Waitrose & Partners,Retail/Grocery
Walkers Crisps,Food & Beverages
Wallis,Retail/Fashion
WALL'S,Food & Beverages
Wall's Sausages,Food & Beverages
Wall's Viennetta,Food & Beverages
Walnut Whips,Food & Beverages
Warburtons Bread,Food & Beverages
Waste Awareness,Government/Environmental
WaterAid,Non-Profit/Charity
Websters Yorkshire Bitter,Alcoholic Beverages
Weetabix,Food & Beverages
Weight Watchers Slimming Club,Health & Fitness
Wendy's,Food & Beverages/Restaurants
West End Quay,Real Estate/Development
West Midlands Hub of Museums,Entertainment/Culture
West of Scotland Oral Cancer Awareness,Healthcare/Public Health
Westwood Tractors,Industrial/Agriculture
Which?,Consumer Advocacy/Media
Whipsnade Wild Animal Park,Entertainment/Tourism
Whiskas,Pet Care
Whitegates Estates Agents,Real Estate
Wickes,Retail/Home Improvement
Wilson's Ultra Golf Balls,Retail/Sports
Winalot Prime,Pet Care
Women's Aid,Non-Profit/Charity
Wonderbly,Technology/Retail
Wonderbra,Retail/Fashion
Xbox,Technology/Gaming
Xero,Technology/Software
Yellow Pages (Norway),Media/Directory Services
Yeoman Pie Fillings,Food & Beverages
Yorkie,Food & Beverages
Yorkshire Bank,Financial Services
Yorkshire Forward,Government/Economic Development
Yorkshire Tea,Food & Beverages
Yorkshire Tourist Board,Tourism/Government
Young Person's Railcard,Transportation/Government
Zanussi,Home Appliances
Zovirax,Healthcare/Pharmaceuticals
